Round,GAT_FedMH,GAT_FedMH_incremental,GAT_FedAvg,GAT_FedAvg_incremental,GAT_FedSem_FT,GAT_FedSem_FT_incremental,GAT_FedMatch_FT,GAT_FedMatch_FT_incremental,GAT_FLwF,GAT_FLwF_incremental
59,,0.3333333333333333,,0.3333333333333333,,1.0,,0.3333333333333333,,0.3333333333333333
60,,0.3333333333333333,,0.3333333333333333,,1.0,,0.3333333333333333,,1.0
61,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
62,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
63,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
64,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
65,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
66,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
67,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
68,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
69,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
70,,0.1,,0.6428571428571428,,0.6428571428571428,,0.1,,0.6428571428571428
71,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333
72,,0.3333333333333333,,0.3333333333333333,,0.5,,0.3333333333333333,,0.3333333333333333
73,,0.3333333333333333,,0.3333333333333333,,0.5,,0.3333333333333333,,0.5
74,,0.3333333333333333,,0.3333333333333333,,0.5,,0.3333333333333333,,0.5
75,,0.3333333333333333,,0.5,,0.5,,0.3333333333333333,,0.5
76,,0.3333333333333333,,0.3333333333333333,,0.5,,0.3333333333333333,,0.3333333333333333
77,,0.3333333333333333,,0.3333333333333333,,0.5,,0.3333333333333333,,0.3333333333333333
78,,0.3333333333333333,,0.3333333333333333,,0.5,,0.3333333333333333,,0.3333333333333333
79,,0.3333333333333333,,0.3333333333333333,,0.5,,0.3333333333333333,,0.3333333333333333
80,,0.3333333333333333,,0.3333333333333333,,0.5,,0.3333333333333333,,0.5
